task,epoch,mean_train_loss,val_loss,last_global_step
grab_roller,0,0.62793409,0.14622886,581
grab_roller,1,0.20965168,0.09210850,1163
grab_roller,2,0.12219079,0.07033546,1745
grab_roller,3,0.08322263,0.05176128,2327
grab_roller,4,0.06617747,0.03721781,2909
grab_roller,5,0.05544423,0.03474783,3491
grab_roller,6,0.05025545,0.04617019,4073
grab_roller,7,0.04419176,0.02656226,4655
grab_roller,8,0.04034962,0.04005652,5237
grab_roller,9,0.03885952,0.02995440,5819
grab_roller,10,0.03614233,0.02046882,6401
grab_roller,11,0.03403954,0.02582615,6983
grab_roller,12,0.03251132,0.02170620,7565
grab_roller,13,0.02978809,0.01759300,8147
grab_roller,14,0.03023735,0.03071138,8729
grab_roller,15,0.02828167,0.02463307,9311
grab_roller,16,0.02665615,0.02391800,9893
grab_roller,17,0.02774888,0.02011091,10475
grab_roller,18,0.02830954,0.02142823,11057
grab_roller,19,0.02632472,0.01125231,11639
grab_roller,20,0.02577485,0.02202776,12221
grab_roller,21,0.02436034,0.01494016,12803
grab_roller,22,0.02459350,0.01263998,13385
grab_roller,23,0.02223286,0.03012928,13967
grab_roller,24,0.02236717,0.01072256,14549
grab_roller,25,0.02121805,0.01986257,15131
grab_roller,26,0.02099099,0.01818145,15713
grab_roller,27,0.01992876,0.02472550,16295
grab_roller,28,0.01912148,0.01468780,16877
grab_roller,29,0.01868202,0.01302731,17459
grab_roller,30,0.01860985,0.01278394,18041
grab_roller,31,0.01809668,0.02116749,18623
grab_roller,32,0.01866757,0.01937914,19205
grab_roller,33,0.01810792,0.01373698,19787
grab_roller,34,0.01684977,0.01288579,20369
grab_roller,35,0.01613364,0.01361504,20951
grab_roller,36,0.01556369,0.01702087,21533
grab_roller,37,0.01488367,0.01551737,22115
grab_roller,38,0.01584429,0.01078968,22697
grab_roller,39,0.01554875,0.00657067,23279
grab_roller,40,0.01518060,0.01465765,23861
grab_roller,41,0.01423678,0.01193225,24443
grab_roller,42,0.01405868,0.00768227,25025
grab_roller,43,0.01389560,0.01349313,25607
grab_roller,44,0.01309436,0.01742384,26189
grab_roller,45,0.01299842,0.01674952,26771
grab_roller,46,0.01301076,0.01552898,27353
grab_roller,47,0.01227916,0.01630578,27935
grab_roller,48,0.01270931,0.00716748,28517
grab_roller,49,0.01196946,0.00793428,29099
grab_roller,50,0.01188208,0.00935364,29681
grab_roller,51,0.01149390,0.00740330,30263
grab_roller,52,0.01196468,0.00499642,30845
grab_roller,53,0.01086109,0.01257166,31427
grab_roller,54,0.01060517,0.01029823,32009
grab_roller,55,0.01090783,0.00368654,32591
grab_roller,56,0.01084203,0.01285802,33173
grab_roller,57,0.01065018,0.01390269,33755
grab_roller,58,0.00962012,0.01546567,34337
grab_roller,59,0.00989369,0.01030489,34919
grab_roller,60,0.00992046,0.00841278,35501
grab_roller,61,0.01015681,0.01056113,36083
grab_roller,62,0.00967187,0.00490194,36665
grab_roller,63,0.00960556,0.01172263,37247
grab_roller,64,0.00932076,0.00954265,37829
grab_roller,65,0.00843240,0.01223730,38411
grab_roller,66,0.00876320,0.01144352,38993
grab_roller,67,0.00869292,0.01329882,39575
grab_roller,68,0.00825104,0.00376073,40157
grab_roller,69,0.00799285,0.00726053,40739
grab_roller,70,0.00841208,0.00855100,41321
grab_roller,71,0.00788674,0.00869230,41903
grab_roller,72,0.00793818,0.00352769,42485
grab_roller,73,0.00770734,0.00751197,43067
grab_roller,74,0.00803875,0.01033077,43649
grab_roller,75,0.00713408,0.00748376,44231
grab_roller,76,0.00819321,0.00842994,44813
grab_roller,77,0.00703822,0.01281672,45395
grab_roller,78,0.00683803,0.00542860,45977
grab_roller,79,0.00706983,0.00514656,46559
grab_roller,80,0.00679124,0.01529212,47141
grab_roller,81,0.00628848,0.00752667,47723
grab_roller,82,0.00663965,0.01302518,48305
grab_roller,83,0.00656492,0.01279554,48887
grab_roller,84,0.00658112,0.01182785,49469
grab_roller,85,0.00636134,0.00601883,50051
grab_roller,86,0.00634693,0.00512177,50633
grab_roller,87,0.00640011,0.00839808,51215
grab_roller,88,0.00676203,0.00570830,51797
grab_roller,89,0.00621491,0.01892736,52379
grab_roller,90,0.00601567,0.00353486,52961
grab_roller,91,0.00630282,0.01782346,53543
grab_roller,92,0.00569917,0.00514293,54125
grab_roller,93,0.00593063,0.00825288,54707
grab_roller,94,0.00561354,0.00976170,55289
grab_roller,95,0.00554525,0.01493148,55871
grab_roller,96,0.00573420,0.00821267,56453
grab_roller,97,0.00559880,0.01467983,57035
grab_roller,98,0.00616451,0.00933888,57617
grab_roller,99,0.00541950,0.00861272,58199
grab_roller,100,0.01634270,0.01254604,10199
grab_roller,101,0.01513936,0.01997785,10300
grab_roller,102,0.01587211,0.01776662,10401
grab_roller,103,0.01599877,0.02563081,10502
grab_roller,104,0.01523523,0.03054654,10603
grab_roller,105,0.01320845,0.02177315,10704
grab_roller,106,0.01549660,0.01334559,10805
grab_roller,107,0.01694508,0.01867102,10906
grab_roller,108,0.01513942,0.01749670,11007
grab_roller,109,0.01580349,0.01587726,11108
grab_roller,110,0.01434805,0.02209096,11209
grab_roller,111,0.01327069,0.01465153,11310
grab_roller,112,0.01520818,0.02166165,11411
grab_roller,113,0.01373589,0.02138861,11512
grab_roller,114,0.01312720,0.02133746,11613
grab_roller,115,0.01445159,0.01445660,11714
grab_roller,116,0.01312887,0.01390228,11815
grab_roller,117,0.01524577,0.01885568,11916
grab_roller,118,0.01312949,0.01443259,12017
grab_roller,119,0.01401066,0.02366804,12118
grab_roller,120,0.01447643,0.02020482,12219
grab_roller,121,0.01326907,0.01723629,12320
grab_roller,122,0.01338270,0.02005495,12421
grab_roller,123,0.01587952,0.01873441,12522
grab_roller,124,0.01266578,0.00810542,12623
grab_roller,125,0.01225685,0.01832553,12724
grab_roller,126,0.01257717,0.01253915,12825
grab_roller,127,0.01180858,0.01413247,12926
grab_roller,128,0.01374387,0.02320619,13027
grab_roller,129,0.01312641,0.01796654,13128
grab_roller,130,0.01212403,0.01468626,13229
grab_roller,131,0.01280989,0.01175927,13330
grab_roller,132,0.01327269,0.01836875,13431
grab_roller,133,0.01307355,0.01716007,13532
grab_roller,134,0.01293779,0.01221640,13633
grab_roller,135,0.01167560,0.01548852,13734
grab_roller,136,0.01207732,0.01652657,13835
grab_roller,137,0.01261277,0.01555519,13936
grab_roller,138,0.01120173,0.01741154,14037
grab_roller,139,0.01175602,0.00996421,14138
grab_roller,140,0.01181557,0.02109275,14239
grab_roller,141,0.01155574,0.01842355,14340
grab_roller,142,0.01213865,0.01553401,14441
grab_roller,143,0.01234469,0.01648796,14542
grab_roller,144,0.01226120,0.01849020,14643
grab_roller,145,0.01099226,0.01789449,14744
grab_roller,146,0.01089839,0.01192331,14845
grab_roller,147,0.01159481,0.01343368,14946
grab_roller,148,0.01333862,0.01355131,15047
grab_roller,149,0.01069209,0.00828684,15148
grab_roller,150,0.01105150,0.01080742,15249
grab_roller,151,0.00996369,0.01056131,15350
grab_roller,152,0.01145595,0.00604076,15451
grab_roller,153,0.01071896,0.01601679,15552
grab_roller,154,0.00978553,0.01626518,15653
grab_roller,155,0.01074970,0.01475487,15754
grab_roller,156,0.00964717,0.01501449,15855
grab_roller,157,0.01147342,0.01652697,15956
grab_roller,158,0.01048924,0.01629607,16057
grab_roller,159,0.01071445,0.01074330,16158
grab_roller,160,0.00989176,0.01443660,16259
grab_roller,161,0.01072441,0.01364684,16360
grab_roller,162,0.01017104,0.01552847,16461
grab_roller,163,0.01038717,0.00566669,16562
grab_roller,164,0.01028447,0.01785229,16663
grab_roller,165,0.00942000,0.02704475,16764
grab_roller,166,0.01118619,0.01164770,16865
grab_roller,167,0.00942223,0.01593526,16966
grab_roller,168,0.01027350,0.01381723,17067
grab_roller,169,0.00953130,0.01239436,17168
grab_roller,170,0.01089603,0.02053157,17269
grab_roller,171,0.00985601,0.01212389,17370
grab_roller,172,0.00929067,0.01374581,17471
grab_roller,173,0.00899185,0.01097397,17572
grab_roller,174,0.00957448,0.01240040,17673
grab_roller,175,0.01044500,0.01397668,17774
grab_roller,176,0.00897275,0.01003725,17875
grab_roller,177,0.00804143,0.00950090,17976
grab_roller,178,0.00939025,0.02222170,18077
grab_roller,179,0.00945623,0.01173683,18178
grab_roller,180,0.00982846,0.02037903,18279
grab_roller,181,0.00886008,0.01329664,18380
grab_roller,182,0.00889636,0.00729884,18481
grab_roller,183,0.00968006,0.00941436,18582
grab_roller,184,0.00744827,0.01745606,18683
grab_roller,185,0.00804028,0.01775426,18784
grab_roller,186,0.00976962,0.00854018,18885
grab_roller,187,0.00921173,0.01492701,18986
grab_roller,188,0.00888187,0.01122133,19087
grab_roller,189,0.00883158,0.01920502,19188
grab_roller,190,0.00803964,0.01267035,19289
grab_roller,191,0.00929416,0.00996936,19390
grab_roller,192,0.00827964,0.01465641,19491
