index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
0,0.000000,0.680000,0.000000,0.529389,0.679994,0.000000,0.529383,0.000000,0.411571,-0.000000,-1.251478,0.000000,1.663051,0.785398,0.035000,0.035000,0.00000873
1,0.033333,0.679914,0.007721,0.530791,0.679914,0.007712,0.530789,0.008797,0.412157,0.003432,-1.246982,-0.001380,1.659137,0.797462,0.035000,0.035000,0.00000930
2,0.066667,0.679655,0.015432,0.532154,0.679656,0.015423,0.532153,0.017608,0.412354,0.006864,-1.243191,-0.002761,1.655536,0.809529,0.035000,0.035000,0.00000924
3,0.100000,0.679224,0.023124,0.533478,0.679225,0.023115,0.533477,0.026412,0.412185,0.010290,-1.240062,-0.004136,1.652227,0.821575,0.035000,0.035000,0.00000919
4,0.133333,0.678622,0.030788,0.534761,0.678623,0.030779,0.534760,0.035195,0.411642,0.013712,-1.237610,-0.005503,1.649216,0.833591,0.035000,0.035000,0.00000913
5,0.166667,0.677849,0.038414,0.536001,0.677850,0.038405,0.535999,0.043947,0.410718,0.017129,-1.235850,-0.006858,1.646513,0.845569,0.035000,0.035000,0.00000911
6,0.200000,0.676907,0.045992,0.537196,0.676908,0.045984,0.537195,0.052656,0.409407,0.020541,-1.234794,-0.008198,1.644122,0.857499,0.035000,0.035000,0.00000904
7,0.233333,0.675795,0.053514,0.538346,0.675797,0.053505,0.538345,0.061310,0.407704,0.023948,-1.234456,-0.009519,1.642052,0.869372,0.035000,0.035000,0.00000899
8,0.266667,0.674516,0.060970,0.539449,0.674518,0.060961,0.539447,0.069897,0.405601,0.027351,-1.234844,-0.010817,1.640306,0.881179,0.035000,0.035000,0.00000898
9,0.300000,0.673072,0.068351,0.540502,0.673074,0.068341,0.540501,0.078404,0.403096,0.030748,-1.235970,-0.012088,1.638890,0.892909,0.035000,0.035000,0.00001005
10,0.333333,0.671463,0.075647,0.541506,0.671466,0.075638,0.541505,0.086822,0.400183,0.034141,-1.237840,-0.013328,1.637808,0.904557,0.035000,0.035000,0.00000996
11,0.366667,0.669693,0.082851,0.542459,0.669696,0.082841,0.542458,0.095137,0.396858,0.037528,-1.240461,-0.014534,1.637061,0.916112,0.035000,0.035000,0.00000991
12,0.400000,0.667763,0.089952,0.543360,0.667766,0.089943,0.543359,0.103339,0.393120,0.040910,-1.243837,-0.015702,1.636653,0.927563,0.035000,0.035000,0.00000972
13,0.433333,0.665675,0.096943,0.544207,0.665678,0.096934,0.544206,0.111416,0.388966,0.044286,-1.247970,-0.016826,1.636583,0.938903,0.035000,0.035000,0.00000954
14,0.466667,0.663433,0.103814,0.544999,0.663436,0.103805,0.544998,0.119357,0.384395,0.047656,-1.252861,-0.017904,1.636851,0.950120,0.035000,0.035000,0.00000958
15,0.500000,0.661038,0.110557,0.545737,0.661042,0.110548,0.545736,0.127150,0.379407,0.051019,-1.258508,-0.018931,1.637456,0.961206,0.035000,0.035000,0.00000951
16,0.533333,0.658495,0.117164,0.546417,0.658498,0.117155,0.546417,0.134786,0.374003,0.054373,-1.264908,-0.019902,1.638395,0.972150,0.035000,0.035000,0.00000940
17,0.566667,0.655805,0.123626,0.547041,0.655809,0.123618,0.547041,0.142255,0.368184,0.057718,-1.272055,-0.020813,1.639665,0.982943,0.035000,0.035000,0.00000920
18,0.600000,0.652973,0.129937,0.547607,0.652977,0.129929,0.547606,0.149546,0.361953,0.061052,-1.279943,-0.021661,1.641262,0.993574,0.035000,0.035000,0.00000910
19,0.633333,0.650001,0.136087,0.548114,0.650006,0.136078,0.548113,0.156649,0.355314,0.064373,-1.288560,-0.022440,1.643180,1.004032,0.035000,0.035000,0.00000986
20,0.666667,0.646894,0.142069,0.548562,0.646899,0.142061,0.548561,0.163557,0.348268,0.067680,-1.297899,-0.023146,1.645413,1.014309,0.035000,0.035000,0.00000999
21,0.700000,0.643656,0.147877,0.548950,0.643661,0.147869,0.548949,0.170262,0.340822,0.070970,-1.307947,-0.023775,1.647953,1.024393,0.035000,0.035000,0.00000981
22,0.733333,0.640289,0.153502,0.549277,0.640295,0.153494,0.549277,0.176756,0.332980,0.074240,-1.318689,-0.024324,1.650794,1.034274,0.035000,0.035000,0.00000969
23,0.766667,0.636800,0.158939,0.549544,0.636805,0.158931,0.549544,0.183031,0.324747,0.077487,-1.330112,-0.024787,1.653926,1.043939,0.035000,0.035000,0.00000934
24,0.800000,0.633190,0.164179,0.549750,0.633196,0.164171,0.549750,0.189081,0.316131,0.080707,-1.342197,-0.025161,1.657339,1.053378,0.035000,0.035000,0.00000939
25,0.833333,0.629466,0.169217,0.549895,0.629472,0.169210,0.549894,0.194900,0.307138,0.083898,-1.354930,-0.025442,1.661025,1.062580,0.035000,0.035000,0.00000915
26,0.866667,0.625632,0.174047,0.549978,0.625638,0.174039,0.549978,0.200482,0.297776,0.087054,-1.368288,-0.025625,1.664971,1.071531,0.035000,0.035000,0.00000998
27,0.900000,0.621692,0.178662,0.549999,0.621699,0.178655,0.549999,0.205824,0.288050,0.090171,-1.382257,-0.025709,1.669168,1.080223,0.035000,0.035000,0.00000982
28,0.933333,0.617652,0.183057,0.549959,0.617659,0.183050,0.549960,0.210923,0.277968,0.093245,-1.396816,-0.025688,1.673604,1.088643,0.035000,0.035000,0.00000969
29,0.966667,0.613516,0.187227,0.549858,0.613523,0.187220,0.549858,0.215774,0.267539,0.096269,-1.411943,-0.025560,1.678266,1.096778,0.035000,0.035000,0.00000957
30,1.000000,0.609289,0.191166,0.549695,0.609297,0.191160,0.549695,0.220375,0.256770,0.099237,-1.427618,-0.025323,1.683143,1.104617,0.035000,0.035000,0.00000946
31,1.033333,0.604978,0.194869,0.549470,0.604985,0.194863,0.549471,0.224725,0.245669,0.102145,-1.443819,-0.024973,1.688222,1.112148,0.035000,0.035000,0.00000924
32,1.066667,0.600586,0.198333,0.549185,0.600593,0.198327,0.549186,0.228823,0.234244,0.104983,-1.460525,-0.024509,1.693490,1.119358,0.035000,0.035000,0.00000910
33,1.100000,0.596119,0.201552,0.548839,0.596127,0.201546,0.548840,0.232668,0.222507,0.107746,-1.477710,-0.023929,1.698932,1.126235,0.035000,0.035000,0.00001007
34,1.133333,0.591583,0.204522,0.548434,0.591592,0.204517,0.548434,0.236262,0.210461,0.110427,-1.495359,-0.023232,1.704539,1.132769,0.035000,0.035000,0.00001006
35,1.166667,0.586984,0.207241,0.547968,0.586992,0.207236,0.547969,0.239606,0.198116,0.113017,-1.513444,-0.022417,1.710295,1.138946,0.035000,0.035000,0.00000978
36,1.200000,0.582327,0.209705,0.547443,0.582335,0.209700,0.547444,0.242701,0.185482,0.115508,-1.531945,-0.021483,1.716186,1.144756,0.035000,0.035000,0.00000958
37,1.233333,0.577617,0.211910,0.546860,0.577626,0.211906,0.546861,0.245550,0.172567,0.117891,-1.550837,-0.020432,1.722199,1.150186,0.035000,0.035000,0.00000950
38,1.266667,0.572862,0.213854,0.546219,0.572870,0.213850,0.546221,0.248156,0.159381,0.120158,-1.570098,-0.019264,1.728320,1.155226,0.035000,0.035000,0.00000949
39,1.300000,0.568065,0.215534,0.545521,0.568074,0.215531,0.545522,0.250524,0.145931,0.122298,-1.589705,-0.017981,1.734535,1.159864,0.035000,0.035000,0.00000938
40,1.333333,0.563235,0.216949,0.544767,0.563243,0.216947,0.544769,0.252657,0.132227,0.124303,-1.609635,-0.016586,1.740830,1.164090,0.035000,0.035000,0.00000927
41,1.366667,0.558375,0.218097,0.543958,0.558384,0.218095,0.543960,0.254560,0.118279,0.126161,-1.629864,-0.015083,1.747192,1.167894,0.035000,0.035000,0.00000927
42,1.400000,0.553493,0.218976,0.543095,0.553502,0.218974,0.543097,0.256239,0.104096,0.127864,-1.650370,-0.013475,1.753605,1.171266,0.035000,0.035000,0.00000929
43,1.433333,0.548594,0.219585,0.542179,0.548603,0.219584,0.542180,0.257700,0.089688,0.129400,-1.671128,-0.011768,1.760057,1.174198,0.035000,0.035000,0.00000918
44,1.466667,0.543685,0.219924,0.541210,0.543694,0.219923,0.541212,0.258948,0.075067,0.130759,-1.692115,-0.009969,1.766534,1.176680,0.035000,0.035000,0.00000915
45,1.500000,0.538771,0.219992,0.540191,0.538781,0.219992,0.540193,0.259989,0.060241,0.131930,-1.713308,-0.008085,1.773021,1.178705,0.035000,0.035000,0.00000931
46,1.533333,0.533859,0.219788,0.539123,0.533868,0.219789,0.539125,0.260831,0.045224,0.132903,-1.734683,-0.006124,1.779505,1.180267,0.035000,0.035000,0.00000925
47,1.566667,0.528954,0.219314,0.538006,0.528963,0.219315,0.538008,0.261480,0.030026,0.133665,-1.756217,-0.004095,1.785973,1.181358,0.035000,0.035000,0.00000919
48,1.600000,0.524063,0.218570,0.536842,0.524072,0.218571,0.536845,0.261941,0.014659,0.134207,-1.777884,-0.002011,1.792411,1.181974,0.035000,0.035000,0.00000931
49,1.633333,0.519192,0.217556,0.535633,0.519201,0.217558,0.535636,0.262222,-0.000862,0.134518,-1.799662,0.000119,1.798807,1.182111,0.035000,0.035000,0.00000932
50,1.666667,0.514346,0.216275,0.534381,0.514355,0.216277,0.534383,0.262328,-0.016526,0.134586,-1.821525,0.002280,1.805148,1.181765,0.035000,0.035000,0.00000957
51,1.700000,0.509532,0.214727,0.533085,0.509541,0.214730,0.533088,0.262265,-0.032316,0.134402,-1.843450,0.004458,1.811422,1.180933,0.035000,0.035000,0.00000957
