index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
0,0.000000,0.560000,0.000000,0.610000,0.559996,-0.000000,0.609991,0.000000,0.008854,-0.000000,-1.597661,0.000000,1.606518,0.785398,0.035000,0.035000,0.00000925
1,0.033333,0.565615,0.008417,0.609957,0.565610,0.008409,0.609957,0.007648,0.027848,0.007360,-1.574420,-0.000205,1.602267,0.800410,0.035000,0.035000,0.00000961
2,0.066667,0.571223,0.016793,0.609828,0.571218,0.016786,0.609828,0.015374,0.047388,0.014477,-1.550448,-0.000686,1.597830,0.815251,0.035000,0.035000,0.00000954
3,0.100000,0.576818,0.025087,0.609612,0.576812,0.025079,0.609612,0.023143,0.067457,0.021306,-1.525722,-0.001436,1.593164,0.829830,0.035000,0.035000,0.00000936
4,0.133333,0.582391,0.033256,0.609311,0.582386,0.033249,0.609312,0.030926,0.088032,0.027810,-1.500252,-0.002445,1.588250,0.844069,0.035000,0.035000,0.00000922
5,0.166667,0.587937,0.041262,0.608925,0.587932,0.041255,0.608925,0.038692,0.109082,0.033958,-1.474053,-0.003696,1.583072,0.857892,0.035000,0.035000,0.00000920
6,0.200000,0.593449,0.049065,0.608453,0.593444,0.049057,0.608454,0.046409,0.130572,0.039722,-1.447149,-0.005171,1.577620,0.871227,0.035000,0.035000,0.00000898
7,0.233333,0.598919,0.056626,0.607898,0.598914,0.056618,0.607898,0.054041,0.152461,0.045079,-1.419576,-0.006844,1.571884,0.884003,0.035000,0.035000,0.00000989
8,0.266667,0.604342,0.063908,0.607258,0.604336,0.063900,0.607259,0.061551,0.174708,0.050011,-1.391366,-0.008689,1.565860,0.896157,0.035000,0.035000,0.00000955
9,0.300000,0.609710,0.070875,0.606536,0.609704,0.070867,0.606537,0.068900,0.197262,0.054505,-1.362570,-0.010678,1.559547,0.907628,0.035000,0.035000,0.00000930
10,0.333333,0.615016,0.077492,0.605732,0.615011,0.077486,0.605733,0.076046,0.220072,0.058552,-1.333241,-0.012777,1.552950,0.918359,0.035000,0.035000,0.00000886
11,0.366667,0.620255,0.083729,0.604846,0.620249,0.083721,0.604848,0.082944,0.243081,0.062150,-1.303445,-0.014955,1.546078,0.928300,0.035000,0.035000,0.00000960
12,0.400000,0.625420,0.089552,0.603881,0.625414,0.089545,0.603883,0.089550,0.266236,0.065302,-1.273243,-0.017179,1.538943,0.937409,0.035000,0.035000,0.00000910
13,0.433333,0.630504,0.094935,0.602838,0.630497,0.094928,0.602839,0.095818,0.289473,0.068014,-1.242718,-0.019416,1.531567,0.945647,0.035000,0.035000,0.00000976
14,0.466667,0.635501,0.099849,0.601716,0.635495,0.099843,0.601718,0.101703,0.312737,0.070297,-1.211945,-0.021635,1.523970,0.952985,0.035000,0.035000,0.00000909
15,0.500000,0.640405,0.104272,0.600519,0.640398,0.104266,0.600521,0.107156,0.335958,0.072166,-1.181021,-0.023808,1.516184,0.959398,0.035000,0.035000,0.00000951
16,0.533333,0.645210,0.108181,0.599247,0.645203,0.108176,0.599249,0.112133,0.359078,0.073639,-1.150036,-0.025908,1.508242,0.964869,0.035000,0.035000,0.00000910
17,0.566667,0.649910,0.111558,0.597903,0.649903,0.111552,0.597905,0.116588,0.382022,0.074739,-1.119103,-0.027910,1.500186,0.969386,0.035000,0.035000,0.00000955
18,0.600000,0.654499,0.114384,0.596486,0.654492,0.114380,0.596489,0.120481,0.404729,0.075489,-1.088326,-0.029794,1.492058,0.972946,0.035000,0.035000,0.00000876
19,0.633333,0.658972,0.116647,0.595001,0.658964,0.116643,0.595004,0.123771,0.427118,0.075914,-1.057839,-0.031542,1.483914,0.975549,0.035000,0.035000,0.00000929
20,0.666667,0.663323,0.118336,0.593447,0.663315,0.118332,0.593450,0.126421,0.449118,0.076043,-1.027769,-0.033139,1.475808,0.977202,0.035000,0.035000,0.00000970
21,0.700000,0.667547,0.119441,0.591828,0.667539,0.119439,0.591831,0.128399,0.470653,0.075901,-0.998256,-0.034576,1.467805,0.977917,0.035000,0.035000,0.00000918
22,0.733333,0.671638,0.119958,0.590145,0.671629,0.119957,0.590149,0.129675,0.491627,0.075518,-0.969470,-0.035843,1.459981,0.977709,0.035000,0.035000,0.00000963
23,0.766667,0.675592,0.119885,0.588400,0.675583,0.119885,0.588404,0.130223,0.511957,0.074920,-0.941572,-0.036935,1.452410,0.976601,0.035000,0.035000,0.00000936
24,0.800000,0.679403,0.119220,0.586595,0.679395,0.119222,0.586599,0.130023,0.531539,0.074136,-0.914759,-0.037849,1.445185,0.974614,0.035000,0.035000,0.00000932
25,0.833333,0.683067,0.117968,0.584733,0.683059,0.117971,0.584737,0.129058,0.550262,0.073191,-0.889239,-0.038585,1.438404,0.971777,0.035000,0.035000,0.00000937
26,0.866667,0.686580,0.116135,0.582816,0.686572,0.116139,0.582820,0.127316,0.568008,0.072109,-0.865241,-0.039143,1.432175,0.968120,0.035000,0.035000,0.00000963
27,0.900000,0.689936,0.113730,0.580846,0.689930,0.113735,0.580850,0.124792,0.584653,0.070914,-0.843007,-0.039526,1.426613,0.963673,0.035000,0.035000,0.00000916
28,0.933333,0.693133,0.110765,0.578826,0.693126,0.110771,0.578830,0.121483,0.600053,0.069627,-0.822808,-0.039736,1.421847,0.958475,0.035000,0.035000,0.00000959
29,0.966667,0.696165,0.107253,0.576758,0.696160,0.107260,0.576762,0.117394,0.614077,0.068267,-0.804904,-0.039779,1.418002,0.952558,0.035000,0.035000,0.00000903
30,1.000000,0.699030,0.103214,0.574645,0.699025,0.103221,0.574649,0.112536,0.626582,0.066849,-0.789564,-0.039659,1.415206,0.945963,0.035000,0.035000,0.00000971
31,1.033333,0.701723,0.098666,0.572489,0.701719,0.098673,0.572492,0.106926,0.637454,0.065385,-0.777019,-0.039382,1.413570,0.938725,0.035000,0.035000,0.00000908
32,1.066667,0.704242,0.093632,0.570293,0.704238,0.093640,0.570297,0.100589,0.646595,0.063886,-0.767458,-0.038956,1.413189,0.930885,0.035000,0.035000,0.00000986
33,1.100000,0.706583,0.088137,0.568059,0.706580,0.088145,0.568063,0.093558,0.653955,0.062357,-0.760988,-0.038388,1.414118,0.922478,0.035000,0.035000,0.00000935
34,1.133333,0.708744,0.082207,0.565792,0.708741,0.082216,0.565795,0.085876,0.659530,0.060799,-0.757627,-0.037688,1.416370,0.913545,0.035000,0.035000,0.00000963
35,1.166667,0.710721,0.075873,0.563492,0.710719,0.075881,0.563495,0.077591,0.663379,0.059210,-0.757285,-0.036866,1.419914,0.904119,0.035000,0.035000,0.00000923
36,1.200000,0.712512,0.069164,0.561163,0.712510,0.069173,0.561166,0.068762,0.665607,0.057587,-0.759775,-0.035933,1.424669,0.894240,0.035000,0.035000,0.00000950
37,1.233333,0.714116,0.062115,0.558809,0.714114,0.062125,0.558812,0.059450,0.666363,0.055924,-0.764837,-0.034900,1.430524,0.883945,0.035000,0.035000,0.00001005
38,1.266667,0.715530,0.054760,0.556431,0.715528,0.054769,0.556434,0.049716,0.665819,0.054216,-0.772165,-0.033780,1.437345,0.873270,0.035000,0.035000,0.00000932
39,1.300000,0.716752,0.047135,0.554033,0.716751,0.047144,0.554036,0.039629,0.664155,0.052457,-0.781435,-0.032583,1.444988,0.862258,0.035000,0.035000,0.00000961
40,1.333333,0.717781,0.039278,0.551617,0.717780,0.039288,0.551620,0.029251,0.661545,0.050644,-0.792336,-0.031320,1.453316,0.850950,0.035000,0.035000,0.00000986
41,1.366667,0.718616,0.031228,0.549188,0.718615,0.031237,0.549190,0.018647,0.658145,0.048774,-0.804585,-0.030002,1.462203,0.839390,0.035000,0.035000,0.00000995
42,1.400000,0.719255,0.023023,0.546747,0.719255,0.023032,0.546749,0.007875,0.654091,0.046848,-0.817938,-0.028638,1.471540,0.827624,0.035000,0.035000,0.00000918
43,1.433333,0.719698,0.014706,0.544297,0.719698,0.014715,0.544300,-0.003001,0.649495,0.044867,-0.832190,-0.027238,1.481233,0.815701,0.035000,0.035000,0.00000934
44,1.466667,0.719945,0.006315,0.541843,0.719945,0.006324,0.541845,-0.013927,0.644442,0.042836,-0.847182,-0.025811,1.491210,0.803670,0.035000,0.035000,0.00000927
45,1.500000,0.719994,-0.002106,0.539386,0.719994,-0.002097,0.539388,-0.024849,0.638998,0.040759,-0.862792,-0.024363,1.501414,0.791584,0.035000,0.035000,0.00000936
46,1.533333,0.719846,-0.010517,0.536930,0.719846,-0.010508,0.536932,-0.035712,0.633208,0.038643,-0.878935,-0.022902,1.511802,0.779492,0.035000,0.035000,0.00000952
47,1.566667,0.719501,-0.018876,0.534477,0.719502,-0.018867,0.534480,-0.046467,0.627098,0.036495,-0.895552,-0.021437,1.522345,0.767449,0.035000,0.035000,0.00000924
48,1.600000,0.718960,-0.027142,0.532032,0.718961,-0.027134,0.532034,-0.057065,0.620681,0.034325,-0.912612,-0.019975,1.533022,0.755505,0.035000,0.035000,0.00000912
49,1.633333,0.718223,-0.035275,0.529596,0.718224,-0.035266,0.529599,-0.067458,0.613957,0.032141,-0.930104,-0.018521,1.543823,0.743715,0.035000,0.035000,0.00000911
50,1.666667,0.717291,-0.043233,0.527173,0.717292,-0.043224,0.527176,-0.077600,0.606919,0.029953,-0.948030,-0.017084,1.554741,0.732130,0.035000,0.035000,0.00000996
51,1.700000,0.716165,-0.050979,0.524766,0.716166,-0.050970,0.524769,-0.087450,0.599546,0.027771,-0.966411,-0.015669,1.565778,0.720799,0.035000,0.035000,0.00000975
52,1.733333,0.714847,-0.058474,0.522378,0.714849,-0.058465,0.522381,-0.096966,0.591818,0.025607,-0.985270,-0.014284,1.576936,0.709773,0.035000,0.035000,0.00000965
53,1.766667,0.713338,-0.065680,0.520011,0.713340,-0.065672,0.520014,-0.106107,0.583709,0.023470,-1.004638,-0.012936,1.588219,0.699101,0.035000,0.035000,0.00000927
54,1.800000,0.711640,-0.072563,0.517669,0.711642,-0.072554,0.517672,-0.114837,0.575191,0.021372,-1.024545,-0.011631,1.599630,0.688831,0.035000,0.035000,0.00000986
55,1.833333,0.709755,-0.079089,0.515354,0.709758,-0.079080,0.515358,-0.123121,0.566234,0.019325,-1.045031,-0.010375,1.611178,0.679005,0.035000,0.035000,0.00000952
56,1.866667,0.707686,-0.085224,0.513070,0.707689,-0.085216,0.513073,-0.130927,0.556811,0.017339,-1.066123,-0.009176,1.622864,0.669669,0.035000,0.035000,0.00000897
57,1.900000,0.705435,-0.090940,0.510819,0.705438,-0.090932,0.510823,-0.138223,0.546897,0.015427,-1.087845,-0.008039,1.634687,0.660866,0.035000,0.035000,0.00000957
58,1.933333,0.703005,-0.096208,0.508604,0.703008,-0.096200,0.508608,-0.144984,0.536466,0.013601,-1.110225,-0.006971,1.646649,0.652633,0.035000,0.035000,0.00000923
59,1.966667,0.700398,-0.101002,0.506428,0.700402,-0.100994,0.506432,-0.151184,0.525503,0.011873,-1.133271,-0.005979,1.658742,0.645011,0.035000,0.035000,0.00000969
60,2.000000,0.697619,-0.105299,0.504293,0.697624,-0.105291,0.504297,-0.156802,0.513990,0.010256,-1.156993,-0.005068,1.670960,0.638034,0.035000,0.035000,0.00001013
61,2.033333,0.694670,-0.109076,0.502202,0.694675,-0.109069,0.502206,-0.161822,0.501915,0.008763,-1.181396,-0.004243,1.683293,0.631734,0.035000,0.035000,0.00000951
62,2.066667,0.691555,-0.112316,0.500158,0.691561,-0.112310,0.500162,-0.166227,0.489275,0.007408,-1.206460,-0.003509,1.695722,0.626148,0.035000,0.035000,0.00001009
63,2.100000,0.688278,-0.115003,0.498162,0.688284,-0.114998,0.498167,-0.170006,0.476064,0.006205,-1.232178,-0.002871,1.708234,0.621301,0.035000,0.035000,0.00000958
64,2.133333,0.684843,-0.117124,0.496219,0.684850,-0.117119,0.496223,-0.173150,0.462293,0.005169,-1.258513,-0.002332,1.720801,0.617223,0.035000,0.035000,0.00001010
65,2.166667,0.681254,-0.118667,0.494329,0.681262,-0.118664,0.494333,-0.175655,0.447964,0.004315,-1.285443,-0.001894,1.733403,0.613939,0.035000,0.035000,0.00000985
66,2.200000,0.677515,-0.119626,0.492495,0.677524,-0.119624,0.492499,-0.177520,0.433092,0.003658,-1.312922,-0.001559,1.746011,0.611471,0.035000,0.035000,0.00000966
67,2.233333,0.673632,-0.119995,0.490720,0.673641,-0.119994,0.490724,-0.178746,0.417696,0.003216,-1.340900,-0.001328,1.758594,0.609840,0.035000,0.035000,0.00000985
68,2.266667,0.669609,-0.119774,0.489006,0.669619,-0.119774,0.489010,-0.179340,0.401798,0.003005,-1.369322,-0.001199,1.771119,0.609063,0.035000,0.035000,0.00000999
69,2.300000,0.665451,-0.118962,0.487354,0.665460,-0.118964,0.487358,-0.179309,0.385421,0.003042,-1.398137,-0.001170,1.783556,0.609155,0.035000,0.035000,0.00000931
70,2.333333,0.661163,-0.117564,0.485768,0.661172,-0.117567,0.485771,-0.178666,0.368601,0.003345,-1.427265,-0.001236,1.795863,0.610128,0.035000,0.035000,0.00000978
71,2.366667,0.656751,-0.115587,0.484248,0.656759,-0.115591,0.484251,-0.177426,0.351364,0.003930,-1.456649,-0.001392,1.808010,0.611988,0.035000,0.035000,0.00000930
72,2.400000,0.652219,-0.113041,0.482797,0.652227,-0.113045,0.482799,-0.175608,0.333753,0.004815,-1.486206,-0.001628,1.819955,0.614741,0.035000,0.035000,0.00000987
73,2.433333,0.647574,-0.109937,0.481416,0.647581,-0.109942,0.481418,-0.173230,0.315800,0.006017,-1.515871,-0.001934,1.831665,0.618387,0.035000,0.035000,0.00000960
74,2.466667,0.642820,-0.106292,0.480108,0.642828,-0.106298,0.480110,-0.170318,0.297553,0.007552,-1.545557,-0.002299,1.843101,0.622919,0.035000,0.035000,0.00001005
75,2.500000,0.637965,-0.102124,0.478873,0.637972,-0.102130,0.478875,-0.166895,0.279048,0.009436,-1.575195,-0.002707,1.854230,0.628331,0.035000,0.035000,0.00000959
