index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
0,0.000000,0.440000,-0.240000,0.340000,0.440000,-0.239993,0.339996,-0.304499,-0.017152,-0.194658,-2.343454,-0.004556,2.326624,0.289394,0.035000,0.035000,0.00000829
1,0.033333,0.440480,-0.239904,0.340480,0.440474,-0.239905,0.340474,-0.304198,-0.016910,-0.194350,-2.341741,-0.004481,2.325144,0.289946,0.035000,0.035000,0.00000911
2,0.066667,0.441885,-0.239623,0.341885,0.441878,-0.239625,0.341878,-0.303293,-0.016188,-0.193423,-2.336704,-0.004253,2.320813,0.291605,0.035000,0.035000,0.00000909
3,0.100000,0.444156,-0.239169,0.344156,0.444149,-0.239170,0.344149,-0.301838,-0.014959,-0.191936,-2.328504,-0.003875,2.313816,0.294267,0.035000,0.035000,0.00000985
4,0.133333,0.447240,-0.238552,0.347240,0.447233,-0.238553,0.347233,-0.299880,-0.013174,-0.189939,-2.317273,-0.003348,2.304334,0.297837,0.035000,0.035000,0.00000948
5,0.166667,0.451079,-0.237784,0.351079,0.451072,-0.237786,0.351072,-0.297470,-0.010764,-0.187490,-2.303130,-0.002673,2.292553,0.302215,0.035000,0.035000,0.00000999
6,0.200000,0.455617,-0.236877,0.355617,0.455611,-0.236878,0.355611,-0.294660,-0.007649,-0.184647,-2.286175,-0.001848,2.278655,0.307298,0.035000,0.035000,0.00000947
7,0.233333,0.460800,-0.235840,0.360800,0.460793,-0.235841,0.360793,-0.291506,-0.003748,-0.181470,-2.266509,-0.000878,2.262823,0.312984,0.035000,0.035000,0.00000972
8,0.266667,0.466570,-0.234686,0.366570,0.466564,-0.234687,0.366563,-0.288061,0.001026,-0.178019,-2.244220,0.000233,2.245230,0.319174,0.035000,0.035000,0.00000959
9,0.300000,0.472872,-0.233426,0.372872,0.472866,-0.233427,0.372866,-0.284378,0.006748,-0.174351,-2.219399,0.001476,2.226045,0.325773,0.035000,0.035000,0.00000954
10,0.333333,0.479650,-0.232070,0.379650,0.479644,-0.232071,0.379644,-0.280511,0.013490,-0.170523,-2.192138,0.002843,2.205430,0.332694,0.035000,0.035000,0.00000902
11,0.366667,0.486848,-0.230630,0.386848,0.486841,-0.230632,0.386841,-0.276509,0.021306,-0.166590,-2.162534,0.004318,2.183542,0.339853,0.035000,0.035000,0.00000982
12,0.400000,0.494409,-0.229118,0.394409,0.494403,-0.229120,0.394403,-0.272421,0.030245,-0.162599,-2.130683,0.005890,2.160521,0.347175,0.035000,0.035000,0.00000912
13,0.433333,0.502279,-0.227544,0.402279,0.502272,-0.227546,0.402272,-0.268294,0.040332,-0.158597,-2.096698,0.007543,2.136511,0.354591,0.035000,0.035000,0.00000957
14,0.466667,0.510400,-0.225920,0.410400,0.510393,-0.225921,0.410393,-0.264169,0.051583,-0.154623,-2.060690,0.009263,2.111639,0.362039,0.035000,0.035000,0.00000986
15,0.500000,0.518717,-0.224257,0.418717,0.518711,-0.224258,0.418711,-0.260085,0.063998,-0.150715,-2.022781,0.011035,2.086029,0.369464,0.035000,0.035000,0.00000904
16,0.533333,0.527174,-0.222565,0.427174,0.527168,-0.222567,0.427168,-0.256081,0.077557,-0.146903,-1.983114,0.012847,2.059804,0.376813,0.035000,0.035000,0.00000918
17,0.566667,0.535715,-0.220857,0.435715,0.535709,-0.220858,0.435709,-0.252190,0.092227,-0.143215,-1.941833,0.014686,2.033078,0.384044,0.035000,0.035000,0.00000943
18,0.600000,0.544285,-0.219143,0.444285,0.544278,-0.219144,0.444278,-0.248441,0.107959,-0.139671,-1.899102,0.016543,2.005965,0.391114,0.035000,0.035000,0.00000933
